date,follower
2023-02-22,712461
2023-02-21,712163
2023-02-20,712063
2023-02-19,711699
2023-02-18,711365
2023-02-17,711351
2023-02-16,711299
2023-02-15,711097
2023-02-14,710975
2023-02-13,710625
2023-02-12,710231
2023-02-11,709725
2023-02-10,709134
2023-02-09,708920
2023-02-08,708557
2023-02-07,708406
2023-02-06,708178
2023-02-05,707571
2023-02-04,705638
2023-02-03,703785
2023-02-02,702757
2023-02-01,701966
2023-01-31,701171
2023-01-30,700399
2023-01-29,699320
2023-01-28,698512
2023-01-27,697629
2023-01-26,696412
2023-01-25,694922
2023-01-24,693687
2023-01-23,692743
2023-01-22,691961
2023-01-21,691008
2023-01-20,689912
2023-01-19,689184
2023-01-18,688665
2023-01-17,688057
2023-01-16,687164
2023-01-15,686290
2023-01-14,685422
2023-01-13,684406
2023-01-12,683586
2023-01-11,682747
2023-01-10,681761
2023-01-09,680513
2023-01-08,678680
2023-01-07,677683
2023-01-06,676550
2023-01-05,675580
2023-01-04,674504
2023-01-03,672891
2023-01-02,671503
2023-01-01,670326
2022-12-31,668996
2022-12-30,666669
2022-12-29,664482
2022-12-28,663065
2022-12-27,661901
2022-12-26,660572
2022-12-25,659687
2022-12-24,658454
2022-12-23,656575
2022-12-22,655345
2022-12-21,654072
2022-12-20,652665
2022-12-19,651355
2022-12-18,651010
2022-12-17,650618
2022-12-16,649946
2022-12-15,648996
2022-12-14,647569
2022-12-13,646752
2022-12-12,646260
2022-12-11,645670
2022-12-10,645074
2022-12-09,644590
2022-12-08,644115
2022-12-07,643636
2022-12-06,643129
2022-12-05,642304
2022-12-04,641575
2022-12-03,640659
2022-12-02,639803
2022-12-01,639139
2022-11-30,638427
2022-11-29,637879
2022-11-28,637348
2022-11-27,636956
2022-11-26,636396
2022-11-25,635757
2022-11-24,635310
2022-11-23,634749
2022-11-22,634325
2022-11-21,633783
2022-11-20,633183
2022-11-19,632630
2022-11-18,632010
2022-11-17,631700
2022-11-16,631343
2022-11-15,631141
2022-11-14,630870
2022-11-13,630582
2022-11-12,630353
2022-11-11,629925
2022-11-10,629668
2022-11-09,629411
2022-11-08,629084
2022-11-07,628814
2022-11-06,628601
2022-11-05,628395
2022-11-04,627886
2022-11-03,627627
2022-11-02,627416
2022-11-01,627306
2022-10-31,627090
2022-10-30,626842
2022-10-29,626574
2022-10-28,626378
2022-10-27,626126
2022-10-26,625894
2022-10-25,625675
2022-10-24,625335
